Rank,name,Position,School,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Yahoo,GP,GS,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,
99,"Warren, Bryson",PG,G-League,10/14/04,19.73,"6'2""","6'6""",174,,,,,,,,101,78.71,109,92,83,77,70,67,53,17,2,19.6,7.8,0.2,1.4,1.6,1.9,0.8,0.3,1.0,0.9,2.8,7.4,0.381,1.3,2.4,0.535,1.5,5.0,0.306,0.4,0.5,0.778,0.504,14.4,0.4,2.5,2.9,3.6,1.5,0.5,1.8,1.7,5.2,4.4,9.2,1.0,https://basketball.realgm.com/player/Bryson-Warren/Summary/162128,
100,"Bannan, Josh",SF,Australia,2/26/01,23.36,"6'8""",,220,,,,,,,,102,79.14,109,95,83,77,70,67,53,19,,29.0,11.9,2.3,4.9,7.2,1.5,0.4,0.2,1.3,2.2,4.7,10.5,0.450,4.2,8.8,0.473,0.6,1.7,0.333,1.9,2.5,0.750,0.549,14.8,2.9,6.1,8.9,1.9,0.5,0.2,1.6,2.7,5.8,10.9,2.1,3.1,https://www.basketball-reference.com/international/players/josh-bannan-1.html,
101,"Cousnard, Jermaine",SG,Oregon,11/25/98,25.61,"6'4""",,205,,,,,,,,103,79.14,95,109,83,77,70,67,53,36,36,32.9,16.6,1.1,3.4,4.6,3.3,1.6,0.2,1.7,2.2,5.5,13.8,0.400,3.5,8.0,0.439,2.0,5.9,0.346,3.5,4.6,0.754,0.587,18.2,1.2,3.7,5.0,3.6,1.8,0.2,1.9,2.4,6.0,8.8,6.5,5.0,https://www.sports-reference.com/cbb/players/jermaine-couisnard-1.html,
102,"Almansa, Izan",C,G-League Ignite,6/7/05,19.08,"6'10.5""","7'1""",220,"9.25""","9'2""",28.00,35.0,10.94,2.96,3.11,104,79.29,109,109,83,77,70,54,53,48,46,27.3,10.5,2.7,4.4,7.1,1.4,0.8,0.7,0.9,1.7,4.2,7.6,0.549,4.0,6.9,0.585,0.2,0.7,0.206,1.1,2.1,0.545,0.673,13.9,3.5,5.9,9.3,1.8,1.0,0.9,1.2,2.2,5.5,9.1,0.9,2.7,https://basketball.realgm.com/player/Izan-Almansa/Summary/136317,
103,"Strazel, Matthew",PG,France,8/5/02,21.92,"6'0""",,178,,,,,,,,105,79.43,109,97,83,77,70,67,53,32,,25.4,10.4,0.2,1.7,1.8,3.7,0.7,0.1,2.2,2.5,3.6,7.7,0.466,2.0,3.4,0.573,1.6,4.3,0.380,1.6,2.1,0.746,0.648,14.7,0.3,2.4,2.6,5.2,1.0,0.1,3.1,3.5,5.1,4.8,6.1,3.0,https://www.basketball-reference.com/international/players/matthew-strazel-1.html,
104,"Nkamhoua, Olivier",PF,Michigan,5/2/00,24.18,"6'9""",,229,,,,,,,,106,79.43,97,109,83,77,70,67,53,26,26,33.4,14.8,1.9,5.2,7.1,2.7,0.6,0.8,2.8,2.4,5.9,11.6,0.512,4.9,8.5,0.577,1.0,3.1,0.333,1.9,2.8,0.671,0.622,16.0,2.0,5.6,7.7,2.9,0.6,0.9,3.0,2.6,6.4,9.2,3.3,3.0,https://www.sports-reference.com/cbb/players/olivier-nkamhoua-1.html,
105,"Battle, RaeQuan",SG,West Virginia,2/19/01,23.38,"6'4""",,183,,,,,,,,107,79.71,99,109,83,77,70,67,53,22,22,28.0,16.1,0.6,3.4,4.0,0.7,1.0,0.6,2.0,2.6,5.2,12.8,0.408,3.5,7.6,0.455,1.8,5.2,0.339,3.9,4.7,0.835,0.611,20.7,0.8,4.4,5.1,0.9,1.3,0.8,2.6,3.3,6.7,9.8,6.7,6.0,https://www.sports-reference.com/cbb/players/raequan-battle-1.html,
106,"Armstrong, Mark",PG,Villanova,2/21/04,20.37,"6'1""","6'4""",180,,,,,,,,108,79.86,109,100,83,77,70,67,53,34,32,24.5,8.4,0.3,2.0,2.3,2.4,0.9,0.2,1.7,1.8,3.2,7.6,0.417,2.5,5.1,0.483,0.7,2.5,0.282,1.3,1.7,0.776,0.529,12.3,0.4,2.9,3.4,3.5,1.3,0.3,2.5,2.6,4.7,7.5,3.7,2.5,https://www.sports-reference.com/cbb/players/mark-armstrong-2.html,
107,"Pember, Drew",PF,UNC Asheville,6/14/00,24.06,"6'10""",,209,,,,,,,,109,79.86,100,109,83,77,70,67,53,33,31,30.5,20.6,1.4,6.8,8.2,3.5,1.0,1.9,2.7,1.9,5.8,12.6,0.464,3.8,7.1,0.541,2.0,5.5,0.366,6.9,8.2,0.844,0.794,24.3,1.7,8.0,9.7,4.1,1.2,2.2,3.2,2.2,6.8,8.4,6.5,9.7,https://www.sports-reference.com/cbb/players/drew-pember-1.html,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,"Clifford, Nique",SF,Colorado State,2/9/02,22.41,"6'6.25""","6'8""",199,"9""","8'6""",30.00,37.0,10.95,3.10,3.08,69,#DIV/0!,,,,,,,,36,36,30.3,12.2,1.1,6.6,7.6,3.0,1.4,0.9,1.8,2.8,4.6,8.9,0.522,3.5,5.9,0.597,1.1,3.0,0.376,1.8,2.3,0.759,0.661,14.5,1.3,7.8,9.0,3.6,1.7,1.1,2.1,3.3,5.5,7.0,3.6,2.7,https://www.sports-reference.com/cbb/players/nique-clifford-1.html
,112,"Karaban, Alex",PF,UConn,11/11/02,21.65,"6'7.75""","6'11""",219,"9.25""","8'10.5""",22.50,32.0,11.23,,3.20,33,#DIV/0!,,,,,,,,39,39,31.4,13.3,1.4,3.6,5.1,1.5,0.9,0.8,0.8,1.7,4.9,9.9,0.495,2.8,4.4,0.640,2.1,5.5,0.379,1.4,1.6,0.885,0.646,15.2,1.6,4.1,5.8,1.7,1.0,0.9,0.9,1.9,5.6,5.0,6.3,1.8,https://www.sports-reference.com/cbb/players/alex-karaban-1.html
,113,"Sallis, Hunter",SG,Wake Forest,3/26/03,21.28,"6'4.75""","6'9.75""",179,"9.5""","8'4.5""",29.50,36.0,10.82,3.16,3.11,38,#DIV/0!,,,,,,,,34,34,35.4,18.0,0.6,3.4,4.1,2.5,1.1,0.6,1.9,1.8,6.6,13.5,0.487,4.4,8.1,0.542,2.2,5.4,0.405,2.6,3.4,0.783,0.650,18.3,0.6,3.5,4.2,2.5,1.1,0.6,1.9,1.8,6.7,8.2,5.5,3.5,https://www.sports-reference.com/cbb/players/hunter-sallis-1.html
,114,"Watkins, Jamir",SF,Florida State,7/6/01,23.00,"6'6.25""",6'10.75,212,"9.5""","8'8""",30.50,35.5,10.64,3.16,3.01,64,#DIV/0!,,,,,,,,33,33,28.1,15.6,1.5,4.5,6.0,2.8,1.9,0.8,2.5,2.8,4.8,10.5,0.457,3.8,7.6,0.500,1.0,2.9,0.344,4.9,6.2,0.795,0.719,20.0,1.9,5.8,7.7,3.6,2.4,1.0,3.2,3.6,6.1,9.7,3.7,7.9,https://www.sports-reference.com/cbb/players/jamir-watkins-1.html
,115,"Sears, Mark",PG,Alabama,2/19/02,22.38,"5'11.5""","6'2""",192,"8.5""","7'8""",32.00,39.0,11.96,3.26,3.33,61,#DIV/0!,,,,,,,,37,37,33.6,21.5,0.9,3.3,4.2,4.0,1.6,0.1,2.4,2.0,6.8,13.4,0.508,4.2,7.5,0.565,2.6,5.9,0.436,5.4,6.2,0.857,0.780,23.0,1.0,3.5,4.5,4.3,1.7,0.1,2.6,2.1,7.3,8.0,6.3,6.6,https://www.sports-reference.com/cbb/players/mark-sears-1.html
,116,"Sandfort, Payton",SF,Iowa,7/12/02,21.98,"6'7.5""","6'8""",212,"9""","8'8""",22.00,28.0,11.57,2.84,3.43,44,#DIV/0!,,,,,,,,34,34,30.5,16.4,1.2,5.4,6.6,2.7,0.7,0.4,1.3,2.5,5.3,11.9,0.446,2.5,4.6,0.551,2.8,7.3,0.379,3.0,3.3,0.911,0.667,19.4,1.4,6.4,7.8,3.2,0.8,0.5,1.5,3.0,6.3,5.4,8.6,3.9,https://www.sports-reference.com/cbb/players/payton-sandfort-1.html
,117,"Lee, Xaivian",PG,Princeton,3/12/04,20.31,"6'3""",,171,,,,,,,,84,#DIV/0!,,,,,,,,29,29,31.2,17.1,0.7,5.1,5.7,3.7,1.0,0.5,1.4,2.1,5.9,13.0,0.451,4.1,7.7,0.529,1.8,5.3,0.338,3.6,4.4,0.798,0.640,19.7,0.8,5.9,6.6,4.3,1.2,0.6,1.6,2.4,6.8,8.9,6.1,5.1,https://www.sports-reference.com/cbb/players/xaivian-lee-1.html
,118,"Brazile, Trevon",PF,Arkansas,1/7/03,21.49,"6'10.5""","7'3.75""",215,"10.25""","9'0.5""",33.00,41.0,11.15,3.01,3.09,68,#DIV/0!,,,,,,,,26,23,25.7,8.6,1.7,4.2,5.9,0.5,0.7,1.2,1.5,2.3,3.0,6.2,0.488,2.1,3.6,0.585,0.9,2.6,0.353,1.6,2.3,0.695,0.661,12.0,2.4,5.9,8.3,0.7,1.0,1.7,2.1,3.2,4.2,5.0,3.6,3.2,https://www.sports-reference.com/cbb/players/trevon-brazile-1.html
,119,"Wagner, DJ",PG,Kentucky,5/4/05,19.17,"6'3""","6'5""",175,,,,,,,,110,#DIV/0!,,,,,,,,29,28,25.8,9.9,0.2,1.7,1.9,3.3,0.8,0.2,1.5,1.6,3.6,8.9,0.405,2.7,5.6,0.472,1.0,3.3,0.292,1.7,2.2,0.766,0.536,13.8,0.3,2.4,2.7,4.6,1.1,0.3,2.1,2.2,5.0,7.8,4.6,3.1,https://www.sports-reference.com/cbb/players/dj-wagner-1.html
,120,"Hawkins, Coleman",PF,Illinois,10/10/01,22.74,"6'9.75""","7'0""",215,"8.75""","8'11""",24.00,29.5,12.05,3.21,3.30,73,#DIV/0!,,,,,,,,35,35,31.6,12.1,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,4.1,9.1,0.451,2.4,4.5,0.535,1.7,4.6,0.369,2.2,2.7,0.792,0.640,13.8,1.6,5.4,6.9,3.1,1.7,1.3,1.8,3.0,4.7,5.1,5.2,3.1,https://www.sports-reference.com/cbb/players/coleman-hawkins-1.html
,121,"Miller, Baba",PF,Florida,2/7/04,20.41,"6'11""","7'2""",204,,,,,,,,80,#DIV/0!,,,,,,,,33,32,24.8,7.6,1.2,3.7,4.9,1.4,0.9,1.1,1.5,3.1,2.8,6.2,0.449,2.1,3.7,0.553,0.7,2.5,0.293,1.3,2.4,0.557,0.590,11.0,1.7,5.4,7.1,2.0,1.3,1.6,2.2,4.5,4.1,5.4,3.6,3.5,https://www.sports-reference.com/cbb/players/baba-miller-1.html
,122,"Darlan, Thierry",SF,G-League Ignite,2/3/04,20.42,"6'6""","7'1""",189,,,,,,,,114,#DIV/0!,,,,,,,,45,11,19.1,5.4,0.7,3.0,3.7,0.8,0.6,0.3,1.5,1.6,1.6,4.4,0.372,1.1,2.3,0.471,0.6,2.1,0.263,1.0,1.3,0.754,0.578,10.2,1.3,5.6,6.9,1.5,1.1,0.6,2.8,3.0,3.1,4.2,4.0,2.4,https://basketball.realgm.com/player/Thierry-Darlan/Summary/185256
,123,"Robinson, Jaxson",SG,BYU,12/3/02,21.59,"6'6""","6'11.25""",189,"9.5""","8'7""",29.50,34.0,11.39,3.06,3.17,66,#DIV/0!,,,,,,,,33,6,26.4,14.2,0.4,2.1,2.5,1.3,0.7,0.4,1.5,1.8,5.0,11.7,0.426,2.5,4.7,0.532,2.5,6.9,0.354,1.8,2.0,0.908,0.587,19.4,0.5,2.9,3.4,1.8,1.0,0.5,2.0,2.5,6.8,6.4,9.4,2.7,https://www.sports-reference.com/cbb/players/jaxson-robinson-1.html
,124,"Kalkbrenner, Ryan",C,Creighton,1/17/02,22.47,"7'2""",,252,,,,,,,,88,#DIV/0!,,,,,,,,35,35,34.7,17.3,2.5,5.1,7.6,1.3,0.4,3.1,1.5,1.9,6.9,10.7,0.646,6.4,9.1,0.705,0.5,1.5,0.296,3.0,4.3,0.711,0.785,17.9,2.6,5.3,7.9,1.3,0.4,3.2,1.6,2.0,7.2,9.4,1.6,4.5,https://www.sports-reference.com/cbb/players/ryan-kalkbrenner-1.html
,125,"Love, Caleb",SG,Arizona,9/27/01,22.77,"6'4""",,195,,,,,,,,96,#DIV/0!,,,,,,,,36,36,32.3,18.0,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,6.1,14.7,0.413,3.5,7.0,0.502,2.6,7.7,0.332,3.3,4.0,0.839,0.597,20.1,0.8,4.6,5.3,3.8,1.3,0.3,2.3,1.2,6.8,7.8,8.6,4.5,https://www.sports-reference.com/cbb/players/caleb-love-1.html
,126,"Toppin, JT",PF,New Mexico,6/14/05,19.06,"6'8.25""","7'0.5""",221,"9.25""","8'10""",28.50,34.0,11.12,3.01,3.27,85,#DIV/0!,,,,,,,,36,35,26.6,12.4,3.7,5.4,9.1,0.6,1.1,1.9,0.9,2.6,5.4,8.6,0.623,5.1,7.7,0.655,0.3,0.9,0.344,1.3,2.4,0.565,0.701,16.8,5.0,7.3,12.3,0.8,1.5,2.6,1.2,3.5,7.3,10.4,1.2,3.2,https://www.sports-reference.com/cbb/players/jt-toppin-1.html
,127,"Grant-Foster, Tyon",SF,Grand Canyon,3/5/00,24.33,"6'7""","6'11.75""",215,"9.25""","8'8""",,,,,,71,#DIV/0!,,,,,,,,34,34,33.5,20.1,1.3,4.8,6.1,1.6,1.7,1.5,2.5,2.3,6.2,14.0,0.446,4.8,9.5,0.500,1.5,4.4,0.331,6.2,8.3,0.745,0.701,21.6,1.4,5.2,6.6,1.7,1.8,1.6,2.7,2.5,6.7,10.2,4.7,8.9,https://www.sports-reference.com/cbb/players/tyon-grant-foster-1.html
,128,"Evans, Kwame",PF,Oregon,8/2/04,19.93,"6'9""","7'0""",200,,,,,,,,82,#DIV/0!,,,,,,,,36,29,22.5,7.3,1.4,3.5,4.9,1.1,1.2,1.0,0.8,2.5,2.5,5.6,0.446,1.9,3.5,0.551,0.6,2.1,0.267,1.7,2.2,0.795,0.613,11.7,2.2,5.6,7.8,1.8,1.9,1.6,1.3,4.0,4.0,5.6,3.4,3.5,https://www.sports-reference.com/cbb/players/kwame-evans-jr-2.html
,129,"Lewis, Malique",PF,G-League,11/10/04,19.65,"6'8""",,205,,,,,,,,83,#DIV/0!,,,,,,,,50,24,25.2,8.3,1.2,4.7,5.8,1.3,0.8,1.0,1.2,2.0,3.2,6.5,0.488,2.1,3.5,0.613,1.0,3.0,0.344,0.6,0.9,0.674,0.614,11.9,1.7,6.7,8.3,1.8,1.2,1.4,1.7,2.9,4.5,4.9,4.3,1.2,https://basketball.realgm.com/player/Malique-Lewis/Summary/189653
,130,"Nelson, Grant",PF,Alabama,3/18/02,22.30,"6'11""",,223,,,,,,,,97,#DIV/0!,,,,,,,,37,37,25.6,11.9,1.6,4.3,5.9,1.5,0.6,1.6,1.4,3.1,3.9,8.0,0.488,3.1,5.0,0.616,0.8,3.0,0.273,3.3,4.1,0.813,0.712,16.7,2.3,6.0,8.3,2.1,0.8,2.3,2.0,4.4,5.5,7.0,4.2,5.8,https://www.sports-reference.com/cbb/players/grant-nelson-1.html
,131,"Johnson, Kobe",SG,USC,1/15/03,21.47,"6'6""",,175,,,,,,,,99,#DIV/0!,,,,,,,,31,28,31.0,10.9,0.5,4.1,4.6,3.3,2.2,0.8,2.1,2.2,4.1,10.1,0.404,2.8,5.9,0.467,1.3,4.1,0.313,1.5,2.0,0.726,0.523,12.7,0.6,4.8,5.3,3.8,2.6,0.9,2.4,2.6,4.8,6.9,4.8,2.3,https://www.sports-reference.com/cbb/players/kobe-johnson-1.html
,132,"Toohey, Alex",SF,Australia,5/5/04,20.17,"6'8""",,212,,,,,,,,101,#DIV/0!,,,,,,,,29,25,21.5,8.0,1.3,2.7,4.0,0.8,0.5,0.5,0.4,1.6,2.8,6.4,0.443,2.2,4.1,0.550,0.6,2.3,0.254,1.7,2.5,0.685,0.596,13.3,2.2,4.5,6.7,1.3,0.8,0.9,0.6,2.7,4.7,6.8,3.9,4.2,https://basketball.realgm.com/player/Alex-Toohey/Summary/177212
,133,"Yang, Hansen",C,China,6/26/05,19.03,"7'1""",,249,,,,,,,,104,#DIV/0!,,,,,,,,53,53,33.6,14.7,2.4,8.5,10.9,3.8,0.7,2.2,3.5,2.7,5.9,10.9,0.548,5.8,10.3,0.567,0.1,0.6,0.219,2.7,4.3,0.624,0.662,15.8,2.6,9.1,11.6,4.1,0.8,2.4,3.8,2.9,6.4,11.0,0.6,4.6,https://basketball.realgm.com/player/Hansen-Yang/Summary/202779
,134,"Poplar, Wooga",SG,Miami,1/5/03,21.50,"6'5""",,195,,,,,,,,108,#DIV/0!,,,,,,,,29,29,31.1,13.1,0.7,4.1,4.8,2.1,0.8,0.3,1.9,2.1,4.6,10.8,0.426,2.4,5.2,0.470,2.1,5.6,0.385,1.8,2.0,0.864,0.586,15.2,0.8,4.7,5.6,2.4,0.9,0.3,2.2,2.4,5.3,6.0,6.5,2.3,https://www.sports-reference.com/cbb/players/wooga-poplar-1.html
,135,"Bal, Adama",PG,Santa Clara,12/18/03,20.55,"6'7""",,190,,,,,,,,109,#DIV/0!,,,,,,,,30,30,31.2,14.4,0.4,2.8,3.2,3.1,0.9,0.2,2.3,2.3,4.6,10.7,0.433,2.9,5.8,0.500,1.7,4.9,0.354,3.4,4.1,0.821,0.651,16.6,0.5,3.2,3.7,3.6,1.0,0.2,2.7,2.7,5.3,6.7,5.7,4.7,https://www.sports-reference.com/cbb/players/adama-bal-1.html
,136,"Murrell, Matthew",SG,Ole Miss,12/19/01,22.54,"6'3""",,201,,,,,,,,89,#DIV/0!,,,,,,,,32,32,32.9,16.2,0.6,3.1,3.6,2.4,1.6,0.3,1.7,2.0,5.6,12.0,0.464,3.1,5.9,0.532,2.4,6.1,0.398,2.7,3.6,0.739,0.657,17.7,0.7,3.4,3.9,2.6,1.8,0.3,1.9,2.2,6.1,6.5,6.7,3.9,https://www.sports-reference.com/cbb/players/matthew-murrell-1.html
,137,"Clayton Jr, Walter",PG,Florida,3/6/03,21.33,"6'2""",,195,,,,,,,,94,#DIV/0!,,,,,,,,36,36,30.9,17.6,0.5,3.1,3.6,2.6,1.1,0.6,2.2,2.4,5.6,13.0,0.432,3.0,5.9,0.512,2.6,7.1,0.365,3.8,4.3,0.877,0.657,20.5,0.6,3.6,4.2,3.0,1.3,0.7,2.6,2.8,6.5,6.9,8.3,5.0,https://www.sports-reference.com/cbb/players/walter-claytonjr-1.html
,138,"Thomas, Saint",SF,Northern Colorado,5/1/03,21.18,"6'7""",,200,,,,,,,,113,#DIV/0!,,,,,,,,32,32,34.8,19.7,1.8,8.0,9.8,4.2,1.7,0.9,3.0,2.6,7.0,14.8,0.472,5.0,8.7,0.572,2.0,6.2,0.330,3.7,4.3,0.868,0.649,20.4,1.9,8.3,10.1,4.3,1.8,0.9,3.1,2.7,7.2,9.0,6.4,4.4,https://www.sports-reference.com/cbb/players/saint-thomas-1.html
,139,"Onyenso, Ugonna",C,Kentucky,9/25/04,19.78,"6'11""",,220,,,,,,,,91,#DIV/0!,,,,,,,,24,14,18.8,3.6,1.8,3.0,4.8,0.2,0.3,2.8,0.7,1.4,1.4,2.5,0.550,1.4,2.5,0.559,0.0,0.0,0.000,0.8,1.4,0.588,0.652,6.9,3.4,5.7,9.2,0.4,0.6,5.4,1.3,2.7,2.7,4.8,0.0,2.7,https://www.sports-reference.com/cbb/players/ugonna-onyenso-1.html
,140,"Perrin, Zacharie",PF,France,8/30/04,19.85,"6'10""",,220,,,,,,,,95,#DIV/0!,,,,,,,,30,,24.2,9.7,1.6,4.9,6.5,1.1,0.7,0.4,1.2,1.8,3.7,6.9,0.538,3.1,5.0,0.616,0.6,1.9,0.333,1.6,2.6,0.628,0.673,14.4,2.4,7.3,9.7,1.6,1.0,0.6,1.8,2.7,5.5,7.5,2.8,3.9,https://basketball.eurobasket.com/player/Zacharie-Perrin/585329
,141,"Ajayi, Michael",SF,Pepperdine,6/23/03,21.03,"6'7""","7'0.75""",228,"9.75""","8'10.5""",27.00,34.5,11.77,3.17,3.21,98,#DIV/0!,,,,,,,,36,36,32.3,18.0,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,6.1,14.7,0.413,3.5,7.0,0.502,2.6,7.7,0.332,3.3,4.0,0.839,0.597,20.1,0.8,4.6,5.3,3.8,1.3,0.3,2.3,1.2,6.8,7.8,8.6,4.5,https://www.sports-reference.com/cbb/players/caleb-love-1.html
,142,"Stevenson, Jarin",PF,Alabama,10/15/05,18.72,"6'10""",,195,,,,,,,,105,#DIV/0!,,,,,,,,37,5,16.6,5.3,0.6,2.1,2.7,0.4,0.2,0.4,0.9,1.7,1.8,4.3,0.418,0.9,1.5,0.596,0.9,2.7,0.317,0.8,1.2,0.689,0.576,11.5,1.3,4.6,5.9,0.9,0.4,0.9,2.0,3.7,3.9,3.3,5.9,2.6,https://www.sports-reference.com/cbb/players/jarin-stevenson-1.html
,143,"Jelavic, Andrija",PF,Serbia,5/26/04,20.11,"6'11""",,224,,,,,,,,111,#DIV/0!,,,,,,,,26,,31.7,10.3,1.5,6.2,7.6,1.7,1.4,0.9,1.7,2.0,4.0,8.6,0.471,3.0,5.0,0.605,1.0,3.6,0.287,1.2,1.7,0.698,0.578,11.7,1.7,7.0,8.6,1.9,1.6,1.0,1.9,2.3,4.5,5.7,4.1,1.9,https://www.basketball-reference.com/international/players/andrija-jelavic-1.html
,144,"Kamardine, Ilias",PG,France,10/1/03,20.76,"6'5""",,180,,,,,,,,112,#DIV/0!,,,,,,,,12,,5.3,0.8,0.0,0.2,0.2,0.3,0.3,0.0,0.6,0.8,0.3,1.3,0.188,0.0,0.1,0.000,0.3,1.3,0.200,0.1,0.2,0.500,0.263,5.4,0.0,1.4,1.4,2.0,2.0,0.0,4.1,5.4,2.0,0.7,8.8,1.4,https://www.basketball-reference.com/international/players/ilias-kamardine-1.html
,145,"Aidoo, Jonas",C,Tennessee,12/10/02,21.57,"6'11""",,234,,,,,,,,113,#DIV/0!,,,,,,,,36,36,24.8,11.4,2.8,4.5,7.3,1.0,0.7,1.8,1.0,2.2,4.8,9.3,0.515,4.7,8.9,0.530,0.1,0.4,0.200,1.7,2.8,0.626,0.595,16.5,4.1,6.5,10.6,1.5,1.0,2.6,1.5,3.2,7.0,12.9,0.6,4.1,https://www.sports-reference.com/cbb/players/jonas-aidoo-1.html
,146,"Proctor, Tyrese",PG,Duke,4/1/01,23.26,"6'5""","6'7""",183,,,,,,,,87,#DIV/0!,,,,,,,,32,25,30.4,10.5,0.1,2.9,3.0,3.7,0.7,0.1,1.3,1.6,3.8,8.9,0.423,1.9,3.7,0.521,1.8,5.2,0.352,1.2,1.5,0.755,0.569,12.4,0.1,3.4,3.6,4.4,0.8,0.1,1.5,1.9,4.5,4.4,6.2,1.8,https://www.sports-reference.com/cbb/players/tyrese-proctor-1.html
,147,"Murray-Boyles, Collin",PF,South Carolina,6/10/05,19.07,"6'7""",,231,,,,,,,,74,#DIV/0!,,,,,,,,28,19,22.8,10.4,2.4,3.3,5.7,1.8,1.0,1.0,1.2,2.4,4.2,7.0,0.597,4.2,6.8,0.613,0.0,0.2,0.000,2.1,3.1,0.667,0.713,16.4,3.8,5.2,9.0,2.8,1.6,1.6,1.9,3.8,6.6,10.7,0.3,4.9,https://www.sports-reference.com/cbb/players/collin-murray-boyles-1.html
,148,"Jones, Kameron",SG,Marquette,2/25/02,22.36,"6'5""",,200,,,,,,,,67,#DIV/0!,,,,,,,,36,36,29.1,17.2,0.4,2.4,2.9,2.4,1.1,0.1,1.4,2.0,6.5,13.0,0.501,3.9,6.5,0.596,2.6,6.5,0.406,1.5,2.1,0.724,0.646,21.3,0.5,3.0,3.6,3.0,1.4,0.1,1.7,2.5,8.0,8.0,8.0,2.6,https://www.sports-reference.com/cbb/players/kam-jones-1.html
,149,"Broome, Johni",PF,Auburn,7/19/02,21.96,"6'9""","7'0""",240,,,,,,,,72,#DIV/0!,,,,,,,,35,34,24.8,16.5,2.5,6.1,8.5,2.2,0.9,2.2,1.6,2.4,6.2,11.4,0.548,5.4,9.1,0.596,0.8,2.3,0.354,3.2,5.2,0.615,0.707,24.0,3.6,8.9,12.3,3.2,1.3,3.2,2.3,3.5,9.0,13.2,3.3,7.5,https://www.sports-reference.com/cbb/players/johni-broome-1.html
,150,"Foster, Caleb",SG,Duke,7/16/04,19.97,"6'5""",,197,,,,,,,,116,#DIV/0!,,,,,,,,27,15,25.4,7.7,0.4,2.0,2.4,2.1,0.6,0.1,1.1,2.0,2.7,6.2,0.437,1.7,3.6,0.459,1.0,2.6,0.406,1.2,1.8,0.688,0.592,10.9,0.6,2.8,3.4,3.0,0.9,0.1,1.6,2.8,3.8,5.1,3.7,2.6,https://www.sports-reference.com/cbb/players/caleb-foster-2.html
,151,"Cadeau, Elliot",PG,North Carolina,9/4/04,19.84,"6'0""","6'2""",175,,,,,,,,94,#DIV/0!,,,,,,,,37,31,23.8,7.3,0.6,1.6,2.2,4.1,0.8,0.1,1.8,2.3,2.7,6.5,0.417,2.5,5.1,0.481,0.3,1.4,0.189,1.6,2.5,0.648,0.538,11.0,0.9,2.4,3.3,6.2,1.2,0.2,2.7,3.5,4.1,7.7,2.1,3.8,https://www.sports-reference.com/cbb/players/elliot-cadeau-1.html
,152,"Mara, Aday",C,Spain,4/7/05,19.24,"7'2""","7'7""",245,,,,,,,,123,#DIV/0!,,,,,,,,28,8,9.6,3.5,0.6,1.4,1.9,0.5,0.1,0.7,0.7,0.9,1.4,3.1,0.442,1.4,3.1,0.442,0.0,0.0,0.000,0.8,1.1,0.700,0.513,13.1,2.3,5.3,7.1,1.9,0.4,2.6,2.6,3.4,5.3,11.6,0.0,4.1,https://www.sports-reference.com/cbb/players/aday-mara-2.html
,153,"Mitchell, Dillon",SF,Texas,10/3/03,20.76,"6'7""","6'10""",193,,,,,,,,66,#DIV/0!,,,,,,,,34,33,29.0,9.6,1.8,5.7,7.5,1.4,1.0,0.9,1.4,1.7,4.1,6.9,0.585,4.1,6.7,0.605,0.0,0.2,0.000,1.5,2.6,0.598,0.670,11.9,2.2,7.1,9.3,1.7,1.2,1.1,1.7,2.1,5.1,8.3,0.2,3.2,https://www.sports-reference.com/cbb/players/dillon-mitchell-1.html
,154,"Lowe, Jaland",PG,Pittsburgh,1/1/05,19.51,"6'3""",,170,,,,,,,,88,#DIV/0!,,,,,,,,33,19,26.6,9.6,0.5,2.2,2.8,3.3,0.8,0.1,1.4,1.2,3.4,8.8,0.388,2.5,6.2,0.404,0.9,2.7,0.352,1.8,2.1,0.855,0.523,13.0,0.7,3.0,3.8,4.5,1.1,0.1,1.9,1.6,4.6,8.4,3.7,2.8,https://www.sports-reference.com/cbb/players/jaland-lowe-2.html
