Rank,name,Position,School,Birthday,Age,Height,Weight (lbs),Wingspan,Hand Width,Reach,Lane (sec),Shuttle (sec),3/4 Sprint (sec),Max Vertical,Ovr. Rank,Avg. Rank,ESPN Rank,NBADraft Rank,Athletic Rank,CBS Rank,Tankathon Rank,Ringer Rank,SI Rank,BR Rank,GP,MP,PTS,OREB,DREB,TREB,AST,STL,BLK,TOV,PF,FGM,FGA,FG%,2PM,2PA,2P%,3PM,NCAA__3ptapg,NCAA__3ptpct,FTM,FTA,NCAA_ft,TS%,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info
102,"Hubb, Prentiss",PG,Notre Dame,3/19/99,25.29,"6'3""",175,,,,,,,,104,87.88,79,119,119,108,82,74,61,61,35,33.7,8.9,0.5,2.7,3.2,4.0,0.7,0.2,1.5,1.4,3.1,8.3,0.373,1.6,3.6,0.444,1.5,4.7,0.319,1.3,1.7,0.765,1.156,9.5,0.5,2.9,3.4,4.3,0.7,0.2,1.6,1.5,3.3,3.8,5.0,1.8,https://www.sports-reference.com/cbb/players/prentiss-hubb-1.html
103,"Brooks, Keion",SF,Washington,8/7/00,23.91,"6'7""",205,"6'10.5""",,,,,,,105,88.38,119,83,119,108,82,74,61,61,30,35.5,17.7,1.5,5.2,6.7,1.4,0.7,1.2,3.2,2.3,6.2,14.3,0.434,5.1,10.6,0.481,1.1,3.7,0.297,4.2,5.3,0.792,1.037,17.9,1.5,5.3,6.8,1.4,0.7,1.2,3.2,2.3,6.3,10.7,3.8,5.4,https://www.sports-reference.com/cbb/players/keion-brooksjr-1.html
104,"Mensah, Nathan",PF,San Diego State,4/9/98,26.24,"6'10""",230,"7'6""",,,,,,,106,88.75,119,119,86,108,82,74,61,61,39,20.8,6.0,2.1,3.8,5.9,0.6,0.7,1.6,1.0,2.1,2.2,4.3,0.512,2.2,4.2,0.524,0.0,0.1,0.000,1.5,2.3,0.652,0.934,10.4,3.6,6.6,10.2,1.0,1.2,2.8,1.7,3.6,3.8,7.3,0.2,4.0,https://www.sports-reference.com/cbb/players/nathan-mensah-1.html
105,"Porter Jr, Craig",PG,Wichita State,2/26/00,24.36,"6'2""",185,"6'4""",,,,,,,107,89.13,119,119,89,108,82,74,61,61,31,33.6,13.5,1.3,4.9,6.2,4.9,1.5,1.5,2.5,1.9,5.2,10.8,0.481,4.0,7.5,0.533,1.2,3.3,0.364,2.0,3.0,0.667,1.035,14.5,1.4,5.3,6.6,5.3,1.6,1.6,2.7,2.0,5.6,8.0,3.5,3.2,https://www.sports-reference.com/cbb/players/craig-porterjr-1.html
106,"Valerio-Bodon, Vincent",SF,Hungary,5/2/01,23.18,"6'9""",200,,,,,,,,108,89.25,90,119,119,108,82,74,61,61,30,25.7,8.2,0.8,3.3,4.1,1.8,0.9,0.8,1.3,1.8,2.9,5.8,0.503,1.5,2.4,0.633,1.4,3.4,0.412,1.0,1.1,0.882,1.207,11.4,1.1,4.6,5.7,2.5,1.2,1.1,1.8,2.5,4.1,3.3,4.8,1.5,https://basketball.realgm.com/player/Vincent-Valerio-Bodon/Summary/137526
107,"Gardner, Patrick",C,Marist,6/16/99,25.05,"6'11""",245,"7'2""",,,,,,,109,89.38,119,119,91,108,82,74,61,61,33,30.9,19.1,1.3,5.3,6.6,1.9,0.8,1.0,2.5,1.9,7.4,14.8,0.500,5.7,10.3,0.553,1.7,4.5,0.378,2.7,3.9,0.692,1.048,22.3,1.5,6.2,7.7,2.2,0.9,1.2,2.9,2.2,8.6,12.0,5.2,4.5,https://www.sports-reference.com/cbb/players/patrick-gardner-1.html
108,"Traore, Armel",SF,France,1/23/03,21.45,"6'8""",210,"7'3""",,,,,,,110,89.50,119,92,119,108,82,74,61,61,27,13.1,6.1,1.3,1.9,3.3,0.4,0.3,0.2,1.1,2.0,2.5,4.6,0.549,2.0,3.4,0.593,0.5,1.2,0.417,0.6,1.1,0.532,1.015,16.8,3.7,5.3,9.0,1.1,0.8,0.5,2.9,5.5,6.9,9.5,3.2,3.1,https://basketball.realgm.com/player/Armel-Traore/Summary/148866
109,"Boum, Souley",PG,Xavier,1/26/99,25.44,"6'3""",163,,,,,,,,111,89.75,119,119,94,108,82,74,61,61,37,35.2,16.4,0.4,3.9,4.3,4.3,1.0,0.2,1.9,1.9,5.0,11.4,0.439,2.9,6.2,0.468,2.1,5.2,0.404,4.2,4.8,0.875,1.153,16.8,0.4,4.0,4.4,4.4,1.0,0.2,1.9,1.9,5.1,6.3,5.3,4.9,https://www.sports-reference.com/cbb/players/souley-boum-1.html
110,"Griggs, Bryce",PG,Overtime Elite,9/10/03,20.82,"6'2""",183,"6'5""",,,,,,,112,89.88,95,119,119,108,82,74,61,61,11,34.4,16.4,,,5.6,7.9,2.2,0.2,4.4,4.0,5.9,14.6,0.404,4.7,9.7,0.485,1.2,4.9,0.245,3.4,5.3,0.642,0.996,17.2,,,5.9,8.3,2.3,0.2,4.6,4.2,6.2,10.2,5.1,5.5,https://overtimeelite.com/players/e69f2769-c389-42a6-9ef3-516ad62ae0cb
111,"Appleby, Tyree",PG,Wake Forest,9/30/99,24.76,"6'1""",170,"6'1""",,,,,,,113,90.00,119,119,96,108,82,74,61,61,33,36.7,18.8,0.4,3.0,3.4,6.4,1.8,0.1,3.4,2.2,5.6,13.2,0.424,3.3,6.7,0.493,2.3,6.5,0.354,5.2,6.4,0.813,1.117,18.4,0.4,2.9,3.3,6.3,1.8,0.1,3.3,2.2,5.5,6.6,6.4,6.3,https://www.sports-reference.com/cbb/players/tyree-appleby-1.html
112,"Hauser, Joey",PF,Michigan State,7/17/99,24.97,"6'9""",220,,,,,,,,114,90.13,119,97,119,108,82,74,61,61,34,34.1,14.4,1.3,5.7,7.0,1.8,0.4,0.2,1.5,2.3,4.8,10.0,0.480,2.5,5.1,0.490,2.3,4.9,0.469,2.5,2.9,0.862,1.547,18.4,1.3,5.6,3.3,6.3,1.8,0.1,1.5,2.3,4.7,5.0,4.8,2.8,https://www.sports-reference.com/cbb/players/joey-hauser-1.html
113,"Shelton, Cam",PG,Loyola Marymount,12/28/99,24.52,"6'2""",180,"6'3""",,,,,,,115,90.25,119,119,98,108,82,74,61,61,31,35.5,21.4,1.2,4.2,5.4,4.3,1.8,0.2,2.5,2.5,7.8,16.0,0.488,6.0,11.3,0.531,1.8,4.7,0.383,4.0,5.6,0.714,1.042,21.7,1.2,4.3,5.5,4.4,1.8,0.2,2.5,2.5,7.9,11.5,4.8,5.7,https://www.sports-reference.com/cbb/players/cameron-shelton-1.html
114,"Nunge, Jack",C,Xavier,2/20/99,25.38,"6'11""",245,,,,,,,,116,90.38,99,119,119,108,82,74,61,61,37,29.3,14.2,2.8,5.0,7.8,2.1,0.9,1.2,1.3,2.0,5.4,10.5,0.514,4.3,7.7,0.558,1.1,2.8,0.393,2.3,3.4,0.676,1.030,17.4,3.4,6.1,9.6,2.6,1.1,1.5,1.6,2.5,6.6,9.5,3.4,4.2,https://www.sports-reference.com/cbb/players/jack-nunge-1.html
115,"Collins, Yuri",PG,Saint Louis,3/7/01,23.33,"6'0""",185,,,,,,,,117,90.50,119,119,119,89,82,74,61,61,32,35.1,11.2,0.3,3.0,3.3,10.1,1.3,0.1,3.6,2.2,4.0,9.1,0.440,3.5,7.6,0.461,0.5,1.5,0.333,2.7,3.7,0.730,0.995,11.5,0.3,3.1,3.4,10.4,1.3,0.1,3.7,2.3,4.1,7.8,1.5,3.8,https://www.sports-reference.com/cbb/players/yuri-collins-1.html
116,"Abogidi, Efe",C,G-League Ignite,10/11/01,22.73,"6'10""",225,,,,,,,,118,90.50,100,119,119,108,82,74,61,61,4,12.0,3.0,0.8,2.5,3.3,1.0,0.0,0.0,0.8,2.5,1.5,3.5,0.429,1.5,3.5,0.429,0.0,0.0,0.000,0.0,0.5,0.000,0.872,9.0,2.4,7.5,9.9,3.0,0.0,0.0,2.4,7.5,4.5,10.5,0.0,1.5,https://www.basketball-reference.com/gleague/players/a/abogief01d.html
117,"Funk, Andrew",SG,Penn State,9/21/99,24.79,"6'5""",188,,,,,,,,119,91.50,119,119,119,108,82,63,61,61,37,34.5,12.5,0.3,2.7,3.0,1.1,0.5,0.1,0.8,0.9,4.2,9.5,0.442,1.2,2.1,0.571,3.0,7.4,0.405,1.1,1.2,0.917,1.322,13.0,0.3,2.8,3.1,1.1,0.5,0.1,0.8,0.9,4.4,2.2,7.7,1.3,https://www.sports-reference.com/cbb/players/andrew-funk-1.html
118,"Franklin, Ja'von",SF,Georgia Tech,10/17/98,25.72,"6'7""",220,,,,,,,,120,92.88,119,119,119,108,82,74,61,61,32,27.3,9.7,3.2,4.9,8.1,2.2,1.4,1.6,1.3,2.2,4.0,6.7,0.597,4.0,6.6,0.606,0.0,0.1,0.000,1.8,2.7,0.667,0.935,12.8,4.2,6.5,10.7,2.9,1.8,2.1,1.7,2.9,5.3,8.7,0.1,3.6,https://www.sports-reference.com/cbb/players/javon-franklin-1.html
119,"Ongenda, Nick",C,DePaul,9/29/00,23.77,"6'11""",210,"7'4""",,,,,,,121,92.88,119,119,119,108,82,74,61,61,8,30.5,12.5,2.1,4.1,6.2,1.0,1.1,4.4,3.1,3.4,5.1,11.0,0.464,5.1,11.0,0.464,0.0,0.0,0.000,2.3,3.8,0.605,0.923,14.8,2.5,4.8,7.3,1.2,1.3,5.2,3.7,4.0,6.0,13.0,0.0,4.5,https://www.sports-reference.com/cbb/players/nick-ongenda-1.html
120,"Franklin, Armaan",PG,Virginia,11/17/00,23.63,"6'4""",195,,,,,,,,122,92.88,119,119,119,108,82,74,61,61,33,29.5,12.4,0.7,3.4,4.1,1.4,0.9,0.4,1.0,1.5,4.3,10.2,0.422,2.4,5.2,0.462,1.9,5.0,0.380,1.8,2.6,0.692,1.139,15.1,0.9,4.1,5.0,1.7,1.1,0.5,1.2,1.8,5.2,6.3,6.1,3.2,https://www.sports-reference.com/cbb/players/armaan-franklin-1.html
121,"Bates, Manny",C,Butler,3/14/00,24.31,"6'11""",230,"7'5""",,,,,,,123,92.88,119,119,119,108,82,74,61,61,26,27.9,11.6,1.3,4.2,5.5,1.4,0.6,1.9,1.3,2.2,5.0,8.1,0.617,5.0,8.1,0.617,0.0,0.0,0.000,1.6,2.4,0.667,0.958,15.0,1.7,5.4,7.1,1.8,0.8,2.5,1.7,2.8,6.5,10.5,0.0,3.1,https://www.sports-reference.com/cbb/players/manny-bates-1.html
122,"Nance, Pete",PF,North Carolina,2/19/00,24.38,"6'10""",225,"7'0""",,,,,,,124,92.88,119,119,119,108,82,74,61,61,30,30.1,10.0,1.2,4.8,6.0,1.7,0.3,1.1,1.7,2.3,3.3,7.7,0.429,2.2,4.4,0.500,1.1,3.3,0.333,2.4,2.9,0.828,1.093,12.0,1.4,5.7,7.2,2.0,0.4,1.3,2.0,2.8,3.9,5.3,3.9,3.5,https://www.sports-reference.com/cbb/players/pete-nance-1.html
123,"Tomlin, Nae-Qwan",PF,Kansas State,12/19/00,23.54,"6'10""",210,,,,,,,,125,92.88,119,119,119,108,82,74,61,61,36,27.3,10.4,2.2,3.6,5.8,1.2,1.2,1.0,1.3,2.9,4.1,8.2,0.500,3.6,6.3,0.571,0.5,1.9,0.263,1.7,2.3,0.739,1.017,13.7,2.9,4.7,7.6,1.6,1.6,1.3,1.7,3.8,5.4,8.3,2.5,3.0,https://www.sports-reference.com/cbb/players/naeqwan-tomlin-1.html
124,"Miller, Emanuel",SF,TCU,6/19/00,24.04,"6'7""",208,,,,,,,,126,92.88,119,119,119,108,82,74,61,61,32,29.8,12.3,1.9,4.6,6.5,1.7,0.9,0.9,1.8,2.1,5.2,10.2,0.510,4.6,8.6,0.535,0.6,1.6,0.375,1.4,2.2,0.636,0.997,14.9,2.3,5.6,7.9,2.1,1.1,1.1,2.2,2.5,6.3,10.4,1.9,2.7,https://www.sports-reference.com/cbb/players/emanuel-miller-1.html
125,"Omoruyi, Cliff",C,Rutgers,10/11/01,22.73,"6'11""",240,"7'6""",,,,,,,127,92.88,119,119,119,108,82,74,61,61,34,30.3,13.2,3.1,6.4,9.5,0.9,0.6,2.1,1.5,2.6,5.3,10.4,0.510,5.2,9.8,0.531,0.1,0.6,0.167,2.6,4.2,0.619,0.923,15.7,3.7,7.6,11.3,1.1,0.7,2.5,1.8,3.1,6.3,11.6,0.7,5.0,https://www.sports-reference.com/cbb/players/clifford-omoruyi-1.html
126,"Jones, Dillon",PG,Weber State,10/29/01,22.68,"6'6""",235,"7'1""",,,,,,,128,92.88,119,119,119,108,82,74,61,61,32,36.3,16.7,0.8,10.1,10.9,3.8,1.6,0.1,3.4,2.0,5.3,11.5,0.461,4.2,7.8,0.538,1.1,3.7,0.297,4.9,6.0,0.817,1.052,16.6,0.8,10.0,10.8,3.8,1.6,0.1,3.4,2.0,5.3,7.7,3.7,6.0,https://www.sports-reference.com/cbb/players/dillon-jones-1.html
127,"da Silva, Tristan",PF,Colorado,5/15/01,23.14,"6'8""",200,,,,,,,,129,92.88,119,119,119,108,82,74,61,61,35,30.9,15.9,1.3,3.5,4.8,1.3,1.3,0.4,2.0,1.9,6.0,12.1,0.496,4.5,8.2,0.549,1.5,3.9,0.385,2.3,3.0,0.767,1.086,18.5,1.5,4.1,5.6,1.5,1.5,0.5,2.3,2.2,7.0,9.6,4.5,3.5,https://www.sports-reference.com/cbb/players/tristan-dasilva-1.html
128,"Gaines, Eric",PG,UAB,1/19/01,23.46,"6'2""",155,"6'7""",,,,,,,130,92.88,119,119,119,108,82,74,61,61,40,29.1,11.5,0.5,3.0,3.5,4.4,1.9,0.6,3.1,2.4,3.8,9.7,0.392,2.9,6.9,0.420,0.9,2.8,0.321,3.0,3.7,0.811,1.059,14.2,0.6,3.7,4.3,5.4,2.4,0.7,3.8,3.0,4.7,8.5,3.5,4.6,https://www.sports-reference.com/cbb/players/eric-gaines-4.html
129,"Hart, Hakim",SG,Maryland,5/3/01,23.17,"6'6""",200,,,,,,,,131,92.88,119,119,119,108,82,74,61,61,35,32.8,11.4,0.7,3.4,4.1,2.6,1.2,0.2,1.4,1.5,4.0,8.3,0.482,2.8,4.8,0.583,1.2,3.5,0.343,2.2,2.8,0.786,1.089,12.5,0.8,3.7,4.5,2.9,1.3,0.2,1.5,1.6,4.4,5.3,3.8,3.1,https://www.sports-reference.com/cbb/players/hakim-hart-1.html
130,"Butler, Lamont",PG,San Diego State,6/9/02,22.07,"6'2""",200,,,,,,,,132,92.88,119,119,119,108,82,74,61,61,39,25.9,8.8,0.4,2.3,2.7,3.2,1.5,0.1,2.0,2.7,3.3,7.8,0.423,2.3,4.8,0.479,1.0,3.0,0.333,1.3,1.7,0.765,1.087,12.2,0.6,3.2,3.8,4.4,2.1,0.1,2.8,3.8,4.6,6.7,4.2,2.4,https://www.sports-reference.com/cbb/players/lamont-butler-1.html
131,"Nkamhoua, Olivier",PF,Tennessee,5/2/00,24.18,"6'8""",223,"7'0""",,,,,,,133,92.88,119,119,119,108,82,74,61,61,36,25.3,10.8,1.6,3.4,5.0,2.0,0.4,0.6,1.6,2.0,4.4,8.5,0.518,3.9,7.0,0.557,0.5,1.5,0.333,1.6,2.3,0.696,0.998,15.4,2.3,4.8,7.1,2.8,0.6,0.9,2.3,2.8,6.3,10.0,2.1,3.3,https://www.sports-reference.com/cbb/players/olivier-nkamhoua-1.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,This spreadsheet contains all of the players that have appeard on the Top Prospects list for any of the websites listed since 5/20/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"If a player was unranked on a certain website, he was given the rank equivalent to the total number of players that were ranked on at least one website (that ranked as many players).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For example, if a player was unranked on Bleacher Report's top 50 prospects list, then he was given the rank of 61, which is the number of players that appeared in the top 50 of at least one wesbite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
